10000 0.01
20000 0.02
30000 0.03
40000 0.04
50000 0.0500038461538462
60000 0.0600038461538462
70000 0.0703038461538462
80000 0.0799961538461539
90000 0.0899730769230769
100000 0.100007692307692
110000 0.109969230769231
120000 0.12
130000 0.129388461538462
140000 0.139919230769231
150000 0.150026923076923
160000 0.160015384615385
170000 0.171203846153846
180000 0.179996153846154
190000 0.189780769230769
200000 0.199319230769231
210000 0.208761538461538
220000 0.219957692307692
230000 0.229861538461538
240000 0.239203846153846
250000 0.249423076923077
260000 0.260730769230769
270000 0.270215384615385
280000 0.279038461538462
290000 0.289884615384615
300000 0.297765384615385
